Genes	sup35_mut_1	sup35_mut_2	sup35_mut_3	sup35_mut_4	sup35_wt_1	sup35_wt_2	sup35_wt_3	sup35_wt_4
CDC19		66783.4	89077.8	94811.2	161971	106143	77045.7	97614
CDC21		2663.46	1983.71	6997.34		3044.85	1924.76	2131.89
CDC23		514.098				708.873	898.172	
CDC24		1236.89	406.514				275.14	349.708
CDC28		1578.47	1687.31	3370.54			1361.41	1005.77
CDC3		1226.04	532.36			4152.85	986.561	963.537
CDC31		497.531	739.24				752.783	626.556
CDC33		4552.64	4404.43	2022.75	11685.6	7675.99	3228.36	3085.59
CDC37		660.873	1755.29	1280.38		2106.94	823.623	1743.1
CDC39		1411.5	1461.4	7552.63		3011.71	1636.8	441.353
CDC42		2268.72	2301.44	9747.47		2068.91	1287.75	1310.74
CDC43		1129.6				1188.2	760.719	187.298
CDC48		9339.99	13122.5	58188.1	34364.3	10441.8	8976.24	11423.6
CDC5								
CDC50		294.098	570.381				195.998	339.079
CDC53		646.02	334.188			997.845	809.786	310.82
CDC55		580.177	1161.62	2883.94			1559.94	
CDC60		17269.5	21111.4	61823.9	45089.8	22604.3	18408.9	17299.4
CDC73		1391.49	630.596			360.666	1263.39	274.94
CDC8		677.098	3833.06				2777.88	2274.56
CDC9		899.793	1061.04			2087.95	1083.26	450.341
CDD1		4587.92	4260.25	28997.1		4273	4358.18	3512.07
CDS1		2226.47	1443.31				2374.68	1628.91
CEG1		250.057	241.329			441.624	460.109	365.546
CEM1		985.923	517.706			1413.57	1221.71	1101.07
CET1								634.322
CEX1							780.669	323.287
CFD1								136.645
CGI121		980.515	902.875			6087.36	1831.45	1259.43
CHA1		595.099	1931.74			2281.82	1184.34	488.834
CHC1		8363.93	9718.93	28765.2	5534.87	13029.7	9811.94	9470.12
CHD1		1041.97					621.615	
CHO1		3813.76	3201.19	4352.59		5303.27	3485.86	1654.61
CHO2		4019.62	2936.09	10613.7		2397.25	3734	3386.8
CHS1		398.118	762.058					226.273
CHS2		1020.09	971.324			1028.01		
CHS3		914.304	735.55	5835.11			747.658	310.686
CHS5		1472.13	1402.34	13971.2		5357.06	1675.75	1202.35
CHS6		561.791	279.111			491.527	242.611	148.425
CHS7		1707.98	847.459				1413.43	588.045
CHZ1			334.984					174.196
CIA1		295.519	84.2183	877.341		586.573		117.556
CIC1		1250.03	696.183	4726.21		1702.9	773.082	899.919
CIR1		3423.52	3890.28	15680.5		6198.69	3784.95	4494.07
CIR2		741.878	794.421			1432.27	1111.59	405.711
CIS3		673.618	783.115			1039.8		741.88
CIT1		13586.6	21466.3	87199.6	5185.41	21796.6	10399	13748.8
CIT2		4243.83	4269.17	13032		7089.33	6193.15	3896.32
CIT3								
CKA1		1522.8	700.432	2500.17		1901.85	1422.68	1271.89
CKA2		1194.63	1468.78			4163.72	1244.35	1077.14
CKB1		2958.59	1714.16	6723.39		9354.35	5479.24	960.361
CKB2		187.884	441.106				278.634	944.426
CKI1		1798.03	1267.16	2109.16		2149.82	3300.24	1133.19
CKS1		2974.19	1566.1			967.568	1232.67	723.114
CLA4			1889.73			2515.76	208.808	1146.95
CLC1		306.121	811.194	6183.13		1160.51	720.032	1634.03
CLD1								
CLP1		329.54				1045.66	669.267	287.82
CLU1		1401.4	2090.01	6069.48		2625.31	1386.36	1799.35
CMC1		12890.1	5758.11			13485.4	10901.3	1020.99
CMC2			1450.25					1790.03
CMC4		372.249	646.944			578.532	225.908	511.789
CMD1		1309.08	3676.26	14162.3		3397.28	3747.36	5260.89
CMK1		674.629	999.708	1356.54		4335.88	1421.36	1113.97
CMK2		1582.65	1938.07			2680.18	2414.14	1108.32
CMP2		1046.49	1772.17	635.295		3732.52	829.766	1812.45
CMS1		870.929	806.328	3242.15		463.291	1101.43	359.456
CNA1		472.434	496.921				755.427	858.22
CNB1		802.79	1158.05			1830.96	1300.12	1228.88
CNE1								
CNM67								
CNS1		5798.67	2244.75			3393.46	887.359	1485.41
COA1			651.726			720.817		
COA3				10882.9				
COA4		293.82	242.435				503.298	
COA6		1621.41	2315.85	6153.57		1614.25	343.656	2471.62
COF1		37650.5	41020.8	59227.3	26688.7	51833.1	31311.7	49580.7
COG4		824.298	265.624	1212.9			580.337	
COG6		868.014	774.501			1610.24	801.52	242.556
COG8		366.614	271.541	566.273		1733.64	611.07	44.7793
COP1		2639.58	2489.19	6665.09		4729.29	3682.53	2662.06
COQ1		1960.53	835.215	3483.79		2191.39	2030.11	787.338
COQ10							778.74	244.251
COQ11		2035.7	554.297			1153.19	1442.3	492.218
COQ2		1094.93	1876.85				958.705	293.147
COQ3			402.526			848.479	716.615	787.075
COQ4		1378.01					709.904	
COQ5		1224.08	2411.69			2191.5	2922.28	1365.95
COQ6							1421.01	302.192
COQ8		297.956	750.285			1395.14	497.619	597.994
COQ9		785.795					1148.76	446.282
COR1		3097.51	4212.12	9154.99	26195.9	5746.63	4216.07	4699.79
COS9								
COT1		898.468	485.289				927.317	453.652
COX1								
COX10			173.287					
COX11		1024.16				981.252		441.676
COX12		2762.45	3468.69	16623.7		6618.4	5155.19	1259.77
COX13		2218.92	1210.3				1520.58	935.507
COX14		1291.94						
COX15		11138.9	370.954				439.342	328.252
COX16								
COX17						2339.54		615.062
COX18								
COX19			624.208					84.8597
COX2		4669.76	3100.41	17881.7		7393.85	3329.34	1349.62
COX20								
COX23			833.148				564.022	
COX26								
COX4		430.536	2035.52	10269.8		1873.3	1826.06	2552.01
COX5A		834.083	4387.1				1067.1	1549.14
COX6		3663.11	4668.89	5194.18		4135.64	4758.85	4364.55
COX7		1119	553.603				523.62	
COX8			401.554					378.059
COX9			708.84					798.984
COY1		626.349					372.216	709.446
CPA1		2678.4	2316.55	22290.3		9515.99	4071.71	3205.42
CPA2		24424.2	39246.6	59749.3	63214.4	58697.9	22998	36582
CPR1		73947	70266.1	86062.4	146563	59647.5	134991	106041
CPR2			999.348	19026.9			952.615	785.261
CPR3		2291.68	8254.75	4890.62		8654.43	4335.53	6378.27
CPR4		62.6403					566.299	
CPR5		4336.77	4074.7	37068	158408	5029.19	7287.71	4619.43
CPR6		4104.12	3832.99	95425		2358.5	4610.23	5675.74
CPR7		650.384	878.272			984.809	1395.8	919.26
CPR8								
CPS1		3157.39	3934.87	28972.1		4341.09	5173.78	2934.62
CPT1		2515.34	1133.09			6566.77	2626.92	705.023
CRC1			352.989					
CRD1								
CRG1								
CRH1			560.44				405.754	693.922
CRM1		3179.57	3786.37	17835		4328.68	2996.85	3110.56
CRN1		2111.83	3152.09	19359.8	17970.4	7213.61	2937.09	3273.03
CRP1		2233.65	1074.79				1855.74	1034.47
CSC1						1175.1		592.155
CSE1		824.883	1202.12	3874.95		2038.07	1714.44	1815.3
CSF1		5834.86	2552.96				4685.56	
CSG2								
CSL4		575.579	567.837			700.404	501.749	736.834
CSM1								
CSR1		1886.86	409.916			3541.25	1621.97	657.561
CSS1								649.058
CSS2								
CST26		2078.08					1397.62	435.008
CST6		401.218	106.345				250.317	313.284
CST9								
CTF18			260.135					
CTF4		495.08	405.799			798.055	908.063	159.594
CTI6		631.214	449.596			966.215	1721.31	
CTK2		572.369	200.608			438.539		
CTK3								360.409
CTP1		552.561	3291.6					
CTR1								448.295
CTR86		2089.53	1976.91			3191.1	2969.92	2502.69
CTR9		1461.84	1234.76	3826.41		1924.47	1229.57	604.033
CTS1								
CUB1		8357.63	8508.91	56352.5		18388.2	7577.71	4487.24
CUE1			1046.07			1881.72		290.505
CUE3		224.855	134.925					
CUE4								122.988
CUE5		524.38	306.904				486.095	578.028
CUL3								
CWH41		1182.59	1819.93	9244.17		2437.66	1176.14	672.537
CWH43		417.728	2045.98			1104.86	398.267	
CYB2		985.551	946.481	4973.95		4408.73	1571.45	1778.28
CYB5		1777.62	1889.66			4243.2	3050.65	1556.67
CYC1		10120.7	11307	2714.64			13407.4	15311.2
CYC2							638.365	208.704
CYC3			2370.77			6655.25	2197.99	983.377
CYC7		2009.22	1158.17				1425.21	1143.77
CYC8		486.425	723.855				686.881	864.117
CYK3								
