""	"Prot"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"IFA38"	"IFA38"	1.18366917808806	9.29457169906082	0.89871320188731	0.407518664551917	0.889522287123868	-6.54141683122015
"OST1"	"OST1"	0.161901887188673	9.08865842597012	0.84160824927262	0.43608314609991	0.896830820246278	-6.54338716862869
"NMT1"	"NMT1"	-0.229336210021524	11.6226938553276	-0.855258637139778	0.429120846714775	0.896830820246278	-6.54588318889684
"ARC15"	"ARC15"	-0.27513843207174	12.2016140203237	-0.817006866516749	0.448843897294985	0.898949073794601	-6.54590077586978
"NUT1"	"NUT1"	0.218262617852795	7.68759382034904	0.854306006461081	0.429603992013191	0.896830820246278	-6.54605032666596
"MRP7"	"MRP7"	-1.10721964684723	10.3058570368873	-0.889706110511242	0.411926114148121	0.892280292717642	-6.5461076660099
"TDA3"	"TDA3"	-0.650326236996295	7.17808513241788	-0.892462024146524	0.410573667609429	0.892280292717642	-6.5471399081647
"GLN1"	"GLN1"	0.51607091228357	13.480646856595	0.865916429262742	0.423743550387798	0.896830820246278	-6.54947891512243
"IDI1"	"IDI1"	-0.360205284392739	11.6313712920224	-0.888858785061058	0.412342623578709	0.892280292717642	-6.55042535409641
"COX4"	"COX4"	-1.60343130742346	10.3461805271705	-0.888794359028986	0.412374305974176	0.892280292717642	-6.55048400857403
"NDE1"	"NDE1"	-0.179667355490674	12.7765311461545	-0.825013639447648	0.444660724459247	0.898288484225513	-6.55172479832386
"GND1"	"GND1"	-0.283253253905146	15.1503921240285	-0.867154634821217	0.42312215866376	0.896830820246278	-6.55204703575752
"AIM41"	"AIM41"	1.42035570998174	10.2342913659211	0.886319120486727	0.413592959905987	0.894138304966469	-6.55273512161841
"TOA1"	"TOA1"	0.246333427631451	7.51283417079708	0.867215883351928	0.423091439188001	0.896830820246278	-6.55460006914614
"ACP1"	"ACP1"	-0.373915291061875	12.2874069322143	-0.840371063244601	0.436718334849341	0.896830820246278	-6.55485091689615
