"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PAC10","PAC10",-0.630238391540501,8.18394204307778,-0.719899243073741,0.501874725078338,0.915406003662243,-6.67213014693132
"RER2","RER2",1.10792215773334,10.0157388975362,0.745895332520944,0.487264413445545,0.910733486078806,-6.67248264249047
"NHP6A","NHP6A",0.297185292668858,10.9899631829857,0.700081291777219,0.513213751420446,0.921088154278324,-6.67278808556551
"PRC1","PRC1",-0.417102963451424,12.3142409274898,-0.73445115896426,0.493659257828416,0.912251175976668,-6.67339427751607
"DBP2","DBP2",0.371164457798715,12.3517409742375,0.722790605596194,0.500234897319413,0.915406003662243,-6.67375897852178
"CST6","CST6",-0.553583733435203,6.88725816777938,-0.744033451736037,0.488300831943632,0.910899860331308,-6.67396058688165
"YPR127W","YPR127W",0.112390886827953,8.0101301081527,0.575770831061125,0.588199118146595,0.928424817011481,-6.67432283849571
"BTS1","BTS1",-1.35032302514026,8.94945768312404,-0.743425490117411,0.488639589418614,0.910899860331308,-6.67444253322983
"NAS6","NAS6",-0.115317789050454,10.8902448311362,-0.589169163114462,0.57980541062581,0.928424817011481,-6.67521895620647
"NCE103","NCE103",-0.972748709565534,10.5170390140109,-0.742141355988079,0.489355653171865,0.911009007631672,-6.67545944850492
"RSP5","RSP5",-0.961131902557059,10.0943230582635,-0.741528270608651,0.489697783361432,0.911009007631672,-6.67594445237531
"MOT1","MOT1",1.80553542690694,11.2130900486525,0.741024421875661,0.489979079789015,0.911009007631672,-6.67634279705118
"RPT3","RPT3",0.254345429197864,11.8075798205994,0.65931311961525,0.537079925114458,0.922386776874571,-6.67641133556855
"DCS2","DCS2",-0.939851085297287,7.95393431754644,-0.723843753813103,0.499638527009352,0.915267036202973,-6.67770984914468
"ZPR1","ZPR1",0.233054869881334,13.3692610042543,0.684023458791316,0.522527877769847,0.922386776874571,-6.67830608121003
"SPT4","SPT4",0.133360507123313,8.72503892527979,0.671194345144503,0.530050008963751,0.922386776874571,-6.67994180149532
"CDC50","CDC50",-0.346565195058557,7.82811938202865,-0.656117707710032,0.538980973643728,0.922386776874571,-6.6799701394084
"DSK2","DSK2",1.02132927988008,9.40348242649356,0.736082521665234,0.492744111806751,0.912251175976668,-6.68023821758288
"PDI1","PDI1",-0.220884333387362,14.8295866078845,-0.70959423205577,0.507749233298169,0.918627983277254,-6.68250423238792
"VPS13","VPS13",-0.143160257786743,8.30261314320957,-0.702829815250894,0.511630829846188,0.918937802847384,-6.68344909688629
"RPP1A","RPP1A",0.292000638412735,14.145057674325,0.65206936446485,0.541395751983229,0.922386776874571,-6.6837692776015
"SER3","SER3",0.11714771302772,7.61599205801325,0.620975210095379,0.560175712332156,0.923198206700951,-6.6838010022232
"SCS2","SCS2",-0.973108170416573,11.0137980283056,-0.730344537231227,0.495968187267495,0.913204937028882,-6.68473450530016
"ATG3","ATG3",0.268701807913811,7.93975297014008,0.728405612440524,0.49706094173663,0.913915158603841,-6.68624735460242
"HXT7","HXT7",0.207469990766671,6.85157510177763,0.684272467292284,0.522382583956233,0.922386776874571,-6.68670410602906
"ILV6","ILV6",-0.240672682638737,12.9685531644974,-0.727433875650701,0.497609228340433,0.914246540826654,-6.68700431714353
"RTN1","RTN1",0.141554646043112,12.6901999506607,0.666882992442102,0.532593917314267,0.922386776874571,-6.68727510765537
"USB1","USB1",-0.469240420784687,7.49724657317623,-0.725738822442138,0.498566636840056,0.914744808894866,-6.68832274900951
"CIC1","CIC1",-0.242431984368159,8.81608345608948,-0.668003388503704,0.531932056088452,0.922386776874571,-6.6884261015354
"GGA2","GGA2",-0.940652105006702,10.2924029916806,-0.72552735405785,0.498686168855883,0.914744808894866,-6.68848705490882
"THI20","THI20",0.139207742252013,8.47437461828822,0.660387467161676,0.536441749045323,0.922386776874571,-6.68967785119708
"RPL9B","RPL9B",-0.316616060926614,8.12767534339739,-0.6668793983822,0.532596041336934,0.922386776874571,-6.69042564316551
"ERV14","ERV14",-0.173593063400464,8.48230064146777,-0.610911786255469,0.566341082874857,0.924912064340002,-6.69078276702217
"RPL24A","RPL24A",0.41688260829048,12.2852080784888,0.670792450745268,0.530286806415434,0.922386776874571,-6.69114161523305
"RDH54","RDH54",1.03235921243105,9.32284069887966,0.721931406322131,0.500721803231117,0.915406003662243,-6.69127501326023
"APN1","APN1",0.743920201915359,9.13553680161572,0.717718150895674,0.503114172425642,0.915557219271278,-6.69228315015442
"RSC6","RSC6",-0.514752938289704,8.48898090424758,-0.697499814944281,0.514703487702548,0.921790528805428,-6.6923660773635
"ARP5","ARP5",1.00294702790356,9.38174844480355,0.720348283684297,0.501619810339589,0.915406003662243,-6.69249881430251
"MRPL36","MRPL36",-0.174148229084871,8.00594664371687,-0.719809795352592,0.501925514085336,0.915406003662243,-6.69291457907443
"MNN1","MNN1",-1.28335558327176,10.9193374372313,-0.717867607977731,0.503029173452432,0.915557219271278,-6.69311478712072
"PPE1","PPE1",0.106457715359297,8.33760481526981,0.531261284490116,0.616600064561809,0.930635269862416,-6.69415735474899
"SRY1","SRY1",-0.13911805807298,7.41213775585804,-0.622408144314089,0.559301274172527,0.923198206700951,-6.69445362805589
"RPS13","RPS13",0.492655626666751,14.4490497638481,0.716413146670076,0.503856771608928,0.9156929747178,-6.69553122755171
"ALA1","ALA1",-0.135634585931221,13.7279834808053,-0.636801107843829,0.550566073858392,0.923079034494259,-6.69558148324608
"TRR1","TRR1",0.453188511697177,12.9456134791963,0.716291476234534,0.503926045265392,0.9156929747178,-6.69562476894119
"BAP2","BAP2",-0.300345302372353,8.52911148191245,-0.664654412949224,0.533912036940313,0.922386776874571,-6.69582025569924
"PPM1","PPM1",-0.138203155617529,8.80818475837876,-0.650078292846352,0.542585974064803,0.922386776874571,-6.69606756531275
"CCA1","CCA1",-0.773283773929771,10.2459367457867,-0.71031200240907,0.507338540477229,0.918627983277254,-6.69618639956036
"PAN1","PAN1",0.25775869845121,7.73934886511186,0.713388620482654,0.505580739077618,0.918028184114623,-6.69785263180283
"CHS6","CHS6",0.306356072536953,7.09634135127973,0.694190651122174,0.516617435359908,0.922386776874571,-6.6978682877717
"MTR4","MTR4",-0.331582866877152,8.70208944390374,-0.678096606282209,0.525994100778637,0.922386776874571,-6.69805097264579
"TPS3","TPS3",-0.958449512487975,9.36145740081641,-0.710038635637324,0.507494928318087,0.918627983277254,-6.70041438081807
"SEY1","SEY1",0.225225214101946,11.5616141786988,0.709155089608835,0.508000613139118,0.918627983277254,-6.70108837352312
"PHB1","PHB1",0.118638896709898,11.5794104359116,0.552476960999686,0.602964669649495,0.930635269862416,-6.70134914180001
"YIF1","YIF1",0.763084833232036,9.11454210395943,0.707974805428731,0.508676668333374,0.918706404667926,-6.70198764412844
"SKP2","SKP2",0.277859638510121,7.21556968675899,0.669885500721609,0.530821441131523,0.922386776874571,-6.70214851671904
"WHI2","WHI2",0.221942472355052,8.21737708506785,0.707562375773148,0.508913048640526,0.918706404667926,-6.70230158655091
"YPL067C","YPL067C",-0.278935147802557,7.88411686310647,-0.69490590722985,0.516203340572315,0.922386776874571,-6.70276188908278
